"","Run","Path","Class"
"12","8185724b-da9e-4be5-99ca-a017fcb8e741.htseq.counts","ThyroidCancer/CountFiles/06d06bac-f024-43d8-bc07-3c9e60f1f011","Primary Tumor"
"13","2f961f6d-c4e6-4d25-b21f-29256f5e2e90.htseq.counts","ThyroidCancer/CountFiles/ab2bb420-a2f0-4b5a-a7cc-5e26829a977f","Primary Tumor"
"14","0b6fc206-ed9d-4369-ae39-a31e9ef46543.htseq.counts","ThyroidCancer/CountFiles/63c8f3df-a112-4813-9c28-e3df9ec52c1a","Primary Tumor"
"15","7ea3830a-0961-4f23-9de1-5a658dcf46bd.htseq.counts","ThyroidCancer/CountFiles/a9cc7842-03e0-4f38-a71d-f5275d6926e1","Primary Tumor"
"16","6c18e63a-ec77-498d-804e-c79880bd41a1.htseq.counts","ThyroidCancer/CountFiles/28611ad9-8a76-4847-90d8-8ea9c4c5ebfc","Primary Tumor"
"17","f72488ed-fc26-4bfe-a5bf-e2a441bcafe4.htseq.counts","ThyroidCancer/CountFiles/4de45f5d-7d04-4f59-b1c3-e5625be68cad","Primary Tumor"
"18","46e99292-c02d-47f0-8c27-105f598c810d.htseq.counts","ThyroidCancer/CountFiles/56087e46-642e-4a6c-8ba0-09670e7d4bec","Primary Tumor"
"19","ebc95521-13ec-4482-b341-31cb3d3e8460.htseq.counts","ThyroidCancer/CountFiles/c65ee1a4-cab3-4274-bf2b-d1731af10f89","Primary Tumor"
"20","0b92d208-9700-44d4-ba58-2bfe2001c112.htseq.counts","ThyroidCancer/CountFiles/9658840d-abe8-46e8-899c-7a9277eb1b27","Primary Tumor"
"21","0a393cef-3d96-434d-9bac-349ea165bf73.htseq.counts","ThyroidCancer/CountFiles/a911cf83-c4a9-450a-b67f-108648788dd6","Primary Tumor"
"22","2779f652-26c4-48fc-b2ea-102af2c8ab9b.htseq.counts","ThyroidCancer/CountFiles/b9837255-4278-428b-822b-926a042693d4","Primary Tumor"
"23","e05194d8-a626-4151-ad5c-b02384fbd09e.htseq.counts","ThyroidCancer/CountFiles/45b823e7-e498-4b22-910b-87da8d608cac","Primary Tumor"
"24","f6626346-5373-4530-8fcc-42121f6ced16.htseq.counts","ThyroidCancer/CountFiles/58225a92-7c36-41b7-aabf-62e58004bb4f","Primary Tumor"
"25","f564716d-4a20-4d41-8634-9fb69a78113a.htseq.counts","ThyroidCancer/CountFiles/f1704dd1-8bb4-4a18-b35b-1b7c87f32f9d","Primary Tumor"
"26","be43f984-f688-4622-a86d-ffabb06fd1af.htseq.counts","ThyroidCancer/CountFiles/052e4b1f-3e72-4113-b01b-bab632573f95","Primary Tumor"
"27","e8f96d88-a746-4253-ac41-9e91f2c33c31.htseq.counts","ThyroidCancer/CountFiles/89357e59-64d8-49f2-8339-b9088e0ba59a","Primary Tumor"
"28","9969efbc-02d3-4e2c-af46-f7883296fe42.htseq.counts","ThyroidCancer/CountFiles/88cc6c74-67c7-4fee-9bf7-9639c6894a1a","Primary Tumor"
"29","f2b8d302-9b7a-4055-835b-fee9d53ea9e0.htseq.counts","ThyroidCancer/CountFiles/ed870398-5637-43c2-99e8-5115d291e4d4","Primary Tumor"
"30","4724a1f2-dab3-438d-870d-482ed8fabd62.htseq.counts","ThyroidCancer/CountFiles/370260ae-ce94-41a7-bd60-8ede3d8e298a","Primary Tumor"
"31","13ca4ae4-49ec-43d1-bdf7-9cd4d1261382.htseq.counts","ThyroidCancer/CountFiles/a03e31fd-dbe4-4f90-aadf-3ceb5e69aeb3","Primary Tumor"
"32","ed38b883-ef87-45ae-846b-4b49e39dd551.htseq.counts","ThyroidCancer/CountFiles/77370703-33d8-4b9c-80c6-4d3bfd1b4369","Primary Tumor"
"33","162aaa94-eff4-4f3b-8e0e-354a6d892301.htseq.counts","ThyroidCancer/CountFiles/206eade4-6a20-44d2-8340-c4d0b0c5acfc","Primary Tumor"
"34","b71f0911-510a-4382-a07f-661994646fc9.htseq.counts","ThyroidCancer/CountFiles/b3656837-ef21-4052-8db3-02878028cc38","Primary Tumor"
"35","c09b3169-05dc-4a2a-881a-05b4d2296d0a.htseq.counts","ThyroidCancer/CountFiles/a9c7038c-d86c-487b-8336-1eae1a695ca0","Primary Tumor"
"36","62ede239-075e-4192-a123-be054142f26d.htseq.counts","ThyroidCancer/CountFiles/3dbc7724-e7d3-48e0-a09b-030e06e7b8ec","Primary Tumor"
"37","41bd622f-6518-45de-8f09-29d1d9655994.htseq.counts","ThyroidCancer/CountFiles/d0286343-9912-489f-bf14-a93fde71be4e","Primary Tumor"
"38","2726a3dd-07de-4669-a5a0-701f902360dc.htseq.counts","ThyroidCancer/CountFiles/c963f9ab-29a9-4cf3-80ed-f30d0136d95e","Primary Tumor"
"39","affea9ad-a5de-4843-8124-2dcb35e584a7.htseq.counts","ThyroidCancer/CountFiles/bbc9925a-08f6-469e-81f4-e344a5d8a0de","Primary Tumor"
"40","514113a6-f6fb-4e8c-95cf-8770eead9a09.htseq.counts","ThyroidCancer/CountFiles/38c2da9f-8170-4058-b371-4fac82502efc","Primary Tumor"
"41","124e781f-fb13-4e9c-9feb-8df19c83fd86.htseq.counts","ThyroidCancer/CountFiles/1ec768de-1d3e-4739-8c3b-f8a1a478df20","Primary Tumor"
"42","47bbb512-ac1b-46d5-b7b1-ce7b5cb4d764.htseq.counts","ThyroidCancer/CountFiles/3cee9db1-382e-49d9-a476-228a7c7bd15e","Primary Tumor"
"43","0f3beda2-2e63-4c8f-bdbb-448c8c17c3f2.htseq.counts","ThyroidCancer/CountFiles/60ebb5b6-b106-4736-99c6-2c745a57f574","Primary Tumor"
"44","91710332-c9b9-4ebc-9834-45866dd3873b.htseq.counts","ThyroidCancer/CountFiles/8889cc8d-8a35-4ec7-8a8b-fff98df2b61b","Solid Tissue Normal"
"45","99946511-4d29-4d85-9789-6b326261eb0c.htseq.counts","ThyroidCancer/CountFiles/194e013d-ef7a-4a76-9bc0-bb494b488692","Primary Tumor"
"46","fa2eed0c-4ee1-43fd-8a81-a0bd65f1d2c4.htseq.counts","ThyroidCancer/CountFiles/2159fe8e-8e66-432e-b46a-8e4ac7cd55a0","Primary Tumor"
"47","1fbb3800-3f41-49dc-a010-9f9317ac0039.htseq.counts","ThyroidCancer/CountFiles/7483a336-2272-4ffd-aa37-337b1e3eafcf","Primary Tumor"
"48","8fc60a11-6873-4556-ba8e-154b5f1276d7.htseq.counts","ThyroidCancer/CountFiles/8c02820c-4d57-462c-8393-44104d697c30","Primary Tumor"
"49","d8024d77-6758-4560-9353-31b4c2c1f918.htseq.counts","ThyroidCancer/CountFiles/0135dd7f-9380-4be9-880a-2cdeaab8c10d","Primary Tumor"
"50","937070b5-0d7b-4289-95bb-98d185ef9249.htseq.counts","ThyroidCancer/CountFiles/5b8b65b2-5307-49e2-99ca-8fbb81b48c8d","Primary Tumor"
"51","c0fedec6-1287-4927-ba54-e8aa61135c14.htseq.counts","ThyroidCancer/CountFiles/84287df1-c859-4272-8b90-12c33cb15520","Primary Tumor"
"52","78842f73-6689-43ab-bb2c-60f01be583c3.htseq.counts","ThyroidCancer/CountFiles/f2c0355d-ed0c-42bb-93d4-33dc0e153ba6","Primary Tumor"
"53","d4c4d25f-9bb2-48a9-81db-ac369c06eca3.htseq.counts","ThyroidCancer/CountFiles/09d0c9c0-944c-4bdc-90a4-8b1754c2a67e","Primary Tumor"
"54","f84ba909-4aa2-4ba2-ad07-5431b2b1b60b.htseq.counts","ThyroidCancer/CountFiles/31c596e8-93f9-43bb-b586-4fa60410e300","Primary Tumor"
"55","c7a7d3d9-6171-41cd-99c6-5c80f48c6625.htseq.counts","ThyroidCancer/CountFiles/51f8001e-db91-41d4-85b3-af087da15deb","Primary Tumor"
"56","eaae373f-ccb8-48f8-b2fa-fbb9ce0725c4.htseq.counts","ThyroidCancer/CountFiles/326353a1-e497-47a8-adf8-2e104e59cc8b","Primary Tumor"
"57","42bf2819-f1cf-4f81-aaca-6d142c036b44.htseq.counts","ThyroidCancer/CountFiles/1aa13185-1336-4c49-a41e-979602828920","Primary Tumor"
"58","5c6a718f-8c40-47e7-a746-761b1d5b24b0.htseq.counts","ThyroidCancer/CountFiles/434f19d2-b14c-4ee0-af4d-c80af2b9cedd","Primary Tumor"
"59","164acea4-6114-4620-a812-cdc09eaecf83.htseq.counts","ThyroidCancer/CountFiles/e39351a9-bef4-42a4-9061-4b4663dd9168","Primary Tumor"
"60","ad8a8656-1a42-404a-b9d6-2a31bf5808c0.htseq.counts","ThyroidCancer/CountFiles/a6452e34-da66-4297-aa6d-9436a3ecd2b2","Primary Tumor"
"61","51a350d6-9e41-47fc-b0cc-1c7e490e33a6.htseq.counts","ThyroidCancer/CountFiles/cd1a7662-4c02-4860-a2e7-639c7ed381f1","Primary Tumor"
"62","cd40cc7e-fd55-465d-9dd0-50d9b3d767db.htseq.counts","ThyroidCancer/CountFiles/1b2aaea8-232f-45d4-b6fd-5559cdaeda88","Primary Tumor"
"63","5a628dc9-3882-4df4-9b5f-4dd23ceeab92.htseq.counts","ThyroidCancer/CountFiles/2a2c8544-0764-4770-b145-9acab5fb419c","Primary Tumor"
"64","28d20ee4-53ef-4064-92c5-02d7bc9d4f09.htseq.counts","ThyroidCancer/CountFiles/ca6ac99b-0fc6-4712-981b-5456397542a9","Primary Tumor"
"65","96b0e0aa-1d9a-4864-a53a-481fc7446cda.htseq.counts","ThyroidCancer/CountFiles/51cc33c2-23b8-485d-8a67-afd3f1952f01","Solid Tissue Normal"
"66","dbb86540-cd61-42ed-8487-b90834faa6af.htseq.counts","ThyroidCancer/CountFiles/11442079-58e8-4e76-a05f-a7e9e9c8cead","Primary Tumor"
"67","79082246-9d10-41a0-9e47-713e930f0e69.htseq.counts","ThyroidCancer/CountFiles/dab73664-0257-424c-b813-ae4f49e30d1c","Primary Tumor"
"68","148b05d9-4154-466e-9158-9db6bd4dbbe2.htseq.counts","ThyroidCancer/CountFiles/ae141f96-c112-4925-879c-0a86c42c4e17","Primary Tumor"
"69","36ab490e-d572-4f53-b307-46a37d7ec4a1.htseq.counts","ThyroidCancer/CountFiles/ae7c0d79-cf72-4786-8954-c02084bc2b1f","Primary Tumor"
"70","f207f678-6ffc-4d8b-a12a-dc7c83efc5e5.htseq.counts","ThyroidCancer/CountFiles/92bf23af-b3c1-451c-8165-20f467ccc1bf","Primary Tumor"
"71","f8f2d5be-b4b1-48d6-9941-9607dfa65c5c.htseq.counts","ThyroidCancer/CountFiles/16efc651-6863-4893-87cc-b2448b659d91","Primary Tumor"
"72","8372c003-e16d-4ca9-a54c-ed02149b4024.htseq.counts","ThyroidCancer/CountFiles/1eddcc86-f5e4-411a-9372-c5ee4d38fd52","Primary Tumor"
"73","3ced0749-c055-4d7c-9713-cec4652fed61.htseq.counts","ThyroidCancer/CountFiles/ae8c585e-226d-48c0-82ff-98f18f82a750","Primary Tumor"
"74","e5301065-6668-4fe7-a800-f6e7e1da95a8.htseq.counts","ThyroidCancer/CountFiles/ac1750be-a8c0-49b1-8549-f0e8bc40d419","Primary Tumor"
"75","40061da3-4d17-4319-a4a8-22b0fbad9fd9.htseq.counts","ThyroidCancer/CountFiles/fc7bcb4a-a172-4d18-a992-9292060ed9f6","Solid Tissue Normal"
"76","ce443135-529c-4cfa-b569-691bfe28b955.htseq.counts","ThyroidCancer/CountFiles/98117952-6a86-4c81-8e40-8b728ab846f5","Primary Tumor"
"77","511fa4d5-7874-4990-9b4a-eddfb9fbc9bb.htseq.counts","ThyroidCancer/CountFiles/84ca4a17-234f-4e1d-b561-1b76bc7c6e58","Primary Tumor"
"78","81eb8510-d674-4bb4-bf67-b3a59ca2836b.htseq.counts","ThyroidCancer/CountFiles/fc6126d5-8b63-48a1-878f-050f346928f9","Primary Tumor"
"79","28b80dba-73ab-4651-80e3-0e4edf123a21.htseq.counts","ThyroidCancer/CountFiles/cb448a3b-03d7-40a2-93e4-75afadd1da2b","Primary Tumor"
"80","40b37a9a-db72-43b1-9b11-3c4f69b4b36e.htseq.counts","ThyroidCancer/CountFiles/3f8a2ded-e481-4026-925a-e86d2e267fe0","Primary Tumor"
"81","ea58cb42-443e-4b25-9bef-0093e8ac98b1.htseq.counts","ThyroidCancer/CountFiles/5d24b880-85ef-44a7-b7ff-fa31cf311efa","Primary Tumor"
"82","ac51c9ef-428a-47f2-b871-b30d2ce22b9f.htseq.counts","ThyroidCancer/CountFiles/f4a0fc1f-132b-4131-86b9-2898a7012ab1","Primary Tumor"
"83","b4e20023-e2cd-4b02-b6c3-16133a6d3ca7.htseq.counts","ThyroidCancer/CountFiles/e2f1e66c-2fde-4a20-bf2a-8a396d44eca1","Primary Tumor"
"84","5cead103-8827-4fe1-8f73-6c4ecd1f6f46.htseq.counts","ThyroidCancer/CountFiles/3ed2b285-2252-41a3-9ea8-d61628d60330","Primary Tumor"
"85","bd50199c-3588-48af-a86b-d3924b09badc.htseq.counts","ThyroidCancer/CountFiles/ec7fa7c7-5940-42d9-bc08-912612f6a0e4","Primary Tumor"
"86","46ffff65-842b-4a22-a1d2-22898b65c463.htseq.counts","ThyroidCancer/CountFiles/f32c06b8-033f-41c1-993d-2b2968a5389d","Primary Tumor"
"87","1026609b-c04d-4b01-8196-f17156801925.htseq.counts","ThyroidCancer/CountFiles/5d15ecf4-eb7c-4817-a71c-935b14fa9b25","Primary Tumor"
"88","c2e12b8b-e04b-4805-b157-b6148efb9f9d.htseq.counts","ThyroidCancer/CountFiles/67d13eaf-3ac0-400b-b3dc-ceea4efd1010","Solid Tissue Normal"
"89","cd622462-0fa9-45eb-8500-d7330159e91c.htseq.counts","ThyroidCancer/CountFiles/6484b93e-86f5-4ac1-8db8-f64efcb04ba0","Primary Tumor"
"90","0bcb13b2-14e8-42bb-949f-23123c2a2d44.htseq.counts","ThyroidCancer/CountFiles/9ea05e3a-7319-4767-a785-5b00a7b46e33","Primary Tumor"
"91","5fedc450-0d8e-4305-b27f-8f75801bf794.htseq.counts","ThyroidCancer/CountFiles/9385076f-ab5f-490d-8f3a-de4cfea487d0","Primary Tumor"
"92","71bf1a64-15d7-4cbf-8622-aa961d0ec638.htseq.counts","ThyroidCancer/CountFiles/20ab0bc5-4ce6-4e28-b8d0-793eae97ac4c","Primary Tumor"
"93","3f350254-da7d-4ea4-9031-7a4abde54a19.htseq.counts","ThyroidCancer/CountFiles/7d9581c8-52b5-44fd-8e4c-69a8913d553f","Primary Tumor"
"94","94c9f049-805d-4b6d-b7b6-1f89d4a2bc56.htseq.counts","ThyroidCancer/CountFiles/8ebe9f27-63e5-4d69-84aa-1237b02e885a","Primary Tumor"
"95","a77ba833-350f-4efc-bcb9-40ded4b6b36f.htseq.counts","ThyroidCancer/CountFiles/0696e167-6d6d-4bab-afb3-189db6f17555","Primary Tumor"
"96","5ea8eb81-9496-41a1-b4d5-8c544782ad44.htseq.counts","ThyroidCancer/CountFiles/633311be-3520-4306-9197-801c90fe337b","Primary Tumor"
"97","48426f18-5b29-4e32-92ab-991fb5e3f588.htseq.counts","ThyroidCancer/CountFiles/fb30a02e-9bcb-4213-877a-b729d47ce553","Primary Tumor"
"98","94819e4e-758e-4039-b8c5-1d4ec61f2a34.htseq.counts","ThyroidCancer/CountFiles/fc087e19-c9d2-43f5-bbcd-6ab57ffb4964","Primary Tumor"
"99","a829d13e-6fd6-4a24-809b-d9fdc08c6ea6.htseq.counts","ThyroidCancer/CountFiles/bea64f50-e073-435b-bab5-549f588e7e97","Primary Tumor"
"100","23253bc3-d797-4fc7-af90-db482af889ab.htseq.counts","ThyroidCancer/CountFiles/95066af6-61eb-4e1a-b36e-6a28c9c537f0","Primary Tumor"
"101","f233a324-1cdc-43b7-aa8f-f56e7ab5ce78.htseq.counts","ThyroidCancer/CountFiles/dc102219-0d9e-420f-a477-92f0c0c9c1db","Primary Tumor"
"102","20e20086-f76a-48f1-a1a8-c2de77a092b0.htseq.counts","ThyroidCancer/CountFiles/349f4c88-f184-47b3-a588-6643dd0aadbb","Primary Tumor"
"103","289c081b-c496-44f5-b6b3-f33887932d83.htseq.counts","ThyroidCancer/CountFiles/b3b5f98b-fe2a-40c3-a2d4-b2e294b434d3","Solid Tissue Normal"
"104","49b5b772-6a7b-4aae-a9ed-8a95a0d9a28d.htseq.counts","ThyroidCancer/CountFiles/39a74fe1-e4e0-4118-8489-75aefb4735b3","Primary Tumor"
"105","23f46a9b-91b0-4427-b3b6-f2c4f3e69e12.htseq.counts","ThyroidCancer/CountFiles/50923c91-0466-4f8d-8b5d-ba18d5f4fe35","Primary Tumor"
"106","f6a84de3-7b14-45d9-b8ee-634a3e3b2436.htseq.counts","ThyroidCancer/CountFiles/1583be5b-50a0-4ab4-8d6d-fef34c8ba115","Primary Tumor"
"107","0ea2ed57-6f38-49fd-9c96-52128aaa506c.htseq.counts","ThyroidCancer/CountFiles/de54bb6c-6168-423e-b50e-be4a834fbae4","Primary Tumor"
"108","a74bd2f6-9074-4441-9b42-1d31e8e85221.htseq.counts","ThyroidCancer/CountFiles/b63e8c00-53e7-49a0-a657-0d9230e29b27","Primary Tumor"
"109","076d4eb6-0b8c-49f3-87ca-fb2ea960d249.htseq.counts","ThyroidCancer/CountFiles/462ccfb1-8f41-44fe-a798-fc2b9c972b29","Primary Tumor"
"110","c81bcb06-4f63-44b2-bb62-5245e612b716.htseq.counts","ThyroidCancer/CountFiles/b581a3a3-fa8d-47cc-ad5d-a5f69cadb1ae","Primary Tumor"
"111","74617baa-75eb-47bb-b9fa-319ea98c36a0.htseq.counts","ThyroidCancer/CountFiles/3b2c1c7c-684c-4e8b-8a67-5b5c08a3a515","Primary Tumor"
"112","196731c7-2bbe-4c3b-adac-6cc0d8fa96cb.htseq.counts","ThyroidCancer/CountFiles/650aef92-7743-489d-9ce4-a3e7c4124cd7","Primary Tumor"
"113","18dd7676-6484-42bb-8f1a-c7d04a98c1f0.htseq.counts","ThyroidCancer/CountFiles/0192d659-13f7-468c-9120-36351b0dc2ca","Primary Tumor"
"114","1789335d-a47c-438f-baf3-09aa990bdf7e.htseq.counts","ThyroidCancer/CountFiles/bf59cb9d-f1aa-4a50-904f-6964bb518348","Primary Tumor"
"115","69a502c9-b477-4da8-b479-ddeba6c507ad.htseq.counts","ThyroidCancer/CountFiles/d7bea132-4b45-4f6a-992d-717853ecd59e","Primary Tumor"
"116","f40d02d5-de09-4b2b-a9db-062d4c037a5f.htseq.counts","ThyroidCancer/CountFiles/dc2dcb22-7301-483a-9bca-fdcaa71674df","Primary Tumor"
"117","130f42ba-a149-48bd-a91b-2dbf1e6fad97.htseq.counts","ThyroidCancer/CountFiles/c9618e0f-40d8-4956-ba65-eb847aa3e560","Primary Tumor"
"118","842caa85-4ec6-4121-b398-f69ca77ef175.htseq.counts","ThyroidCancer/CountFiles/c726412f-2969-4df8-bf54-f049e90e0a19","Primary Tumor"
"119","12d875a9-d386-44ab-bd96-6095119be049.htseq.counts","ThyroidCancer/CountFiles/dcb6c76a-32e1-4c38-b7d8-eebf15708d3b","Primary Tumor"
"120","3a6f9c28-c1be-42fb-8cb5-20833a7ab5b2.htseq.counts","ThyroidCancer/CountFiles/7731e1b2-e598-4913-b4dd-123f366b003e","Primary Tumor"
"121","ce963e6e-8ce0-43a1-8149-4a71d0fec065.htseq.counts","ThyroidCancer/CountFiles/76e6608b-9762-4e08-a118-1e11d80d36c5","Primary Tumor"
"122","83036536-9ca8-445c-826e-75423015e049.htseq.counts","ThyroidCancer/CountFiles/b403b780-01ca-4f83-b6c6-d0ef755698b9","Primary Tumor"
"123","4ac42f61-f3cc-4038-9968-c1507d664b5a.htseq.counts","ThyroidCancer/CountFiles/4d47db25-2cc3-454e-be2a-4b1df4f124a4","Primary Tumor"
"124","bb2b2f5c-8447-4b10-bfc6-33011e805f39.htseq.counts","ThyroidCancer/CountFiles/30ab2f86-b4f1-4c15-af08-42ef20ce9a50","Primary Tumor"
"125","302b135d-39fc-4d4e-9c53-4046ebeb774b.htseq.counts","ThyroidCancer/CountFiles/59b3b817-7e8a-40ae-aa21-16adf917a685","Primary Tumor"
"126","03bc1d49-07fe-41ec-8064-28861c25eebb.htseq.counts","ThyroidCancer/CountFiles/ffec4f9a-b41f-4ac7-8968-98bde0364ceb","Primary Tumor"
"127","7341ac8e-1fdd-4f54-ba6a-f5a050ce8db7.htseq.counts","ThyroidCancer/CountFiles/2cfbdc85-dac0-4919-bd60-5179bb912cf8","Primary Tumor"
"128","fa580309-e176-4838-90ec-ca21c385164e.htseq.counts","ThyroidCancer/CountFiles/e86dc070-d274-427f-b84c-e4db999ffbd1","Primary Tumor"
"129","b3db06c4-ff1e-4600-90d5-e5d14fbe7a5a.htseq.counts","ThyroidCancer/CountFiles/3c854f25-77d5-4460-b709-0ccc5a81c33c","Primary Tumor"
"130","17915009-ea55-4f1d-b745-c6724a0d0060.htseq.counts","ThyroidCancer/CountFiles/da0896bc-d26b-4fdf-bd73-ea95b441c13b","Primary Tumor"
"131","3bee9215-e421-4ffa-9f84-2c70be9e51d2.htseq.counts","ThyroidCancer/CountFiles/a0cafcf5-b3f9-41b1-9c9b-ad161aa8f739","Primary Tumor"
"132","118c17b3-6e4c-482c-9956-ead43ccb1929.htseq.counts","ThyroidCancer/CountFiles/93d26243-4d0e-4ba9-8295-50650223b43a","Solid Tissue Normal"
"133","0cdb4fa4-1b90-4189-a29c-8a8a012f9029.htseq.counts","ThyroidCancer/CountFiles/690c3247-5e33-421a-9814-c918bc552015","Primary Tumor"
"134","6d725329-1323-48ea-9d03-1d20b520aff8.htseq.counts","ThyroidCancer/CountFiles/beba9913-d4e1-4307-9fb2-590e032cc22e","Primary Tumor"
"135","54d00fcb-6468-4716-9491-d1094a250d46.htseq.counts","ThyroidCancer/CountFiles/7dffb28d-fdbe-4b16-8478-2640bb9552a5","Primary Tumor"
"136","43f59329-24dd-44bf-aa97-887a2998ab81.htseq.counts","ThyroidCancer/CountFiles/c0772179-69ce-4d8e-a68d-366612018ccb","Solid Tissue Normal"
"137","39113e53-0d26-4616-b23e-fb4c70dec853.htseq.counts","ThyroidCancer/CountFiles/741f016b-4a3c-416d-be4c-d0af34c5d549","Primary Tumor"
"138","d2fa0257-65b1-4168-84e5-c922a65c09f0.htseq.counts","ThyroidCancer/CountFiles/e604cb85-8da0-4091-bdf5-24ba63d3d7ba","Primary Tumor"
"139","70057cae-a8cb-441a-96d3-9f08002c8f9b.htseq.counts","ThyroidCancer/CountFiles/5dea28f6-73fd-4d44-b2e9-b4f89a814698","Primary Tumor"
"140","c5127ad6-2af8-429d-a998-0a915d440737.htseq.counts","ThyroidCancer/CountFiles/8bc34a9e-6a2e-4a0e-813d-925b21de761a","Primary Tumor"
"141","0c754f0b-7476-48d6-a197-d391c4a5515d.htseq.counts","ThyroidCancer/CountFiles/a91dbfc4-79fb-43ae-b772-bef2c3696dfd","Primary Tumor"
"142","cbf6d499-8616-4519-bca1-2687c14e2a4c.htseq.counts","ThyroidCancer/CountFiles/149f309c-f35c-49c9-b622-d654616cb584","Primary Tumor"
"143","44eeacd5-6027-457c-9c1b-62739b806301.htseq.counts","ThyroidCancer/CountFiles/357085b4-3ec3-404b-93a7-d163761005d9","Primary Tumor"
"144","1f95ac21-15a2-4c1b-82c2-b4ddfdb87d54.htseq.counts","ThyroidCancer/CountFiles/68437b01-6ba1-448a-bb12-97fc98248fde","Primary Tumor"
"145","70129edf-3380-48eb-8a5c-1230a92ec6c9.htseq.counts","ThyroidCancer/CountFiles/fe775620-51d6-4b15-8799-a33e31a7340f","Primary Tumor"
"146","c839fd1f-0eaf-4702-a06b-d357f0b3deef.htseq.counts","ThyroidCancer/CountFiles/cb762887-722f-4db1-b0b1-6ba06fe112aa","Primary Tumor"
"147","8488166a-6722-48d2-abc5-14ce7cc046e1.htseq.counts","ThyroidCancer/CountFiles/0e9b46f1-6c25-4cc3-8f70-3a387b98b43e","Primary Tumor"
"148","2f2b586f-e2d1-4989-b4b6-8afbde26af55.htseq.counts","ThyroidCancer/CountFiles/1c80fa2b-db7c-409c-bc3a-ee98963bcdab","Primary Tumor"
"149","530da1d3-5e1a-4fd6-8720-c6b0157263d4.htseq.counts","ThyroidCancer/CountFiles/8117b267-f384-49f5-b8f6-addc7414ec4d","Primary Tumor"
"150","6a0ed4e6-eeae-4648-9301-855964d285e3.htseq.counts","ThyroidCancer/CountFiles/bedaa538-4661-4345-a1e5-f6a1c78d536e","Primary Tumor"
"151","2e4be953-eff5-4fc8-a900-0e112fbf51d3.htseq.counts","ThyroidCancer/CountFiles/501381a5-e4ef-4632-a6e0-8df763b593b0","Primary Tumor"
"152","30498ba8-b15f-4222-869a-8a63d9085aad.htseq.counts","ThyroidCancer/CountFiles/0ace0cac-aa40-42e5-8df7-f8ce0dd4d664","Primary Tumor"
"153","008b8100-7bd6-4224-998c-700863de51da.htseq.counts","ThyroidCancer/CountFiles/046544c1-f998-49b8-b4de-9f119ad9a2e6","Primary Tumor"
"154","c62a4599-e1a7-41af-9820-a961c6473f34.htseq.counts","ThyroidCancer/CountFiles/9fee5fb2-b20e-4e8d-b6ed-a2ba06b487b0","Primary Tumor"
"155","e26e53c2-07a1-456e-9164-cac32f925101.htseq.counts","ThyroidCancer/CountFiles/50571bf2-d217-4c4e-bb18-a1a3ad612368","Primary Tumor"
"156","ae1ca60a-1b87-418f-94dd-e1b707352941.htseq.counts","ThyroidCancer/CountFiles/bfdf36df-55e7-47d2-aab9-9f51a22485a3","Solid Tissue Normal"
"157","d14fba7a-d51d-461d-9dd1-fca422c6a96d.htseq.counts","ThyroidCancer/CountFiles/c1eccade-2e95-4e35-b450-e5b3f7f76120","Primary Tumor"
"158","f14bacd4-417c-4779-b2a4-d5bf5d35c561.htseq.counts","ThyroidCancer/CountFiles/4f3ca6c9-8afa-4931-a75b-02b980e813fe","Primary Tumor"
